,sticky_cpi_monthly,sticky_cpi,flexible_cpi_monthly,flexible_cpi,median_cpi_monthly,median_cpi,trimmed_mean_cpi_monthly,trimmed_mean_cpi
2019-01-01,0.22431,2.402002454283436,-0.89601,-0.9276954760759515,2.88960472562634,2.6150508339805922,2.60373437260859,2.2481475053664823
2019-02-01,0.20728,2.4119771876297103,0.55987,-0.8185622195352793,2.97821762626109,2.6955881371575563,2.20969585321233,2.217767593131792
2019-03-01,0.19922,2.3974656573769515,0.85138,0.5116718714305746,3.21024114832287,2.7997817234578948,2.60403336285422,2.3034518687446326
2019-04-01,0.24192,2.4318610125504847,0.72742,0.8390743889194141,2.82946232379089,2.7912432329518566,2.00157729343584,2.294275402564838
2019-05-01,0.14885,2.398262954053876,-0.3226,0.16352573450493235,2.55853514567628,2.75596722530973,0.935280464554267,2.178705697009864
2019-06-01,0.24308,2.436113283832575,-0.81381,-0.42878463140166856,2.96310499495169,2.78354203340212,1.82754415994986,2.163981402507087
2019-07-01,0.25586,2.5249391760730155,0.18097,-0.07290878388206412,3.20088881178511,2.874478619606502,2.73967790805474,2.2674878619678207
2019-08-01,0.28087,2.6677698133287464,-0.45235,-0.8225110366327781,2.62575663098745,2.902013364458078,2.1297809375673,2.2831886612906027
2019-09-01,0.19912,2.6560595432127965,0.03538,-0.9834648789237677,2.50440284645774,2.916304719976859,2.11509952226847,2.2777578819225486
2019-10-01,0.28013,2.773324287135015,0.27647,-1.1252449100156547,2.67072730886815,2.9216914533382043,3.34682323954234,2.3586353887548706
2019-11-01,0.23006,2.778174536307332,0.4217,0.16788846942976665,3.27785810135186,2.884747151813194,3.03255049852393,2.389639273494293
2019-12-01,0.20621,2.750919544411201,0.52558,1.0802652021627335,2.52541708194376,2.852503427323505,2.45415898455899,2.3315884803756237
2020-01-01,0.27147,2.79926842669056,0.04503,2.0400708847174043,3.61068769265118,2.912379916978658,2.83231910752435,2.350567312111651
2020-02-01,0.19426,2.7859116478725188,-0.31694,1.1503545937911364,2.88679127209464,2.904762825113849,2.52320327862927,2.376692231516242
2020-03-01,0.02666,2.608896927458959,-1.73469,-1.4433818281038069,2.96074316871415,2.884009861228387,1.89877457052747,2.317865327434676
2020-04-01,-0.14748,2.2103021632769337,-2.72142,-4.81789501444333,2.18086652905403,2.829774570452037,0.0992614814596893,2.157471767733532
2020-05-01,0.02364,2.082514855346096,-0.46503,-4.953901643961089,2.89879142211011,2.8581611117556527,1.96500238391559,2.2439175094572716
2020-06-01,0.25827,2.097983587957386,1.27094,-2.956170371616107,1.83456486942399,2.7637366589845502,2.0633088557644,2.263624000676745
2020-07-01,0.5227,2.36972656578045,0.51854,-2.6291712861844396,3.44313590833529,2.7838168108099692,4.1033794854576,2.3760568577864793
2020-08-01,0.23297,2.32082880589366,0.83629,-1.36871014306581,2.6071155139936,2.78226086232638,2.84179930848392,2.4353455908234567
2020-09-01,0.02159,2.1395396215384554,1.07967,-0.339077730166526,1.14434137828776,2.6679181498604043,1.51217495749236,2.3848073953662174
2020-10-01,0.08012,1.935821005301075,0.2164,-0.39877899010067885,1.82057568973273,2.596803823891358,1.57465962729386,2.237339165529506
2020-11-01,0.19711,1.9023102471300346,0.16377,-0.6546016154404533,1.45986298697687,2.4450752033285283,1.83007283229695,2.1373702113820947
2020-12-01,0.11687,1.8114580694308824,1.39739,0.20697323710596738,1.44368888695681,2.3545632910680014,2.17599436829916,2.114232694515583
2021-01-01,0.075401673,1.612378488238897,0.838383222,1.0016106627184884,1.27671669339315,2.1604109119962356,1.0578971122343,1.966222515914584
2021-02-01,0.201121121,1.619336719418052,0.769876731,2.1028031855623075,2.44314482142176,2.1236286357678713,2.89082899030617,1.9966415967282103
2021-03-01,0.189785366,1.7850594526876984,1.433130678,5.39433476688016,2.17136467319941,2.058151523565921,2.89418612083145,2.079302779732939
2021-04-01,0.412556167,2.355934524781489,1.160031167,9.599607537885824,2.85894555783786,2.1144193114058574,4.41575834485994,2.4390698050079207
2021-05-01,0.338366943,2.678000092190347,1.532457243,11.799073895234692,3.34554727872438,2.1512918566458206,5.35422682268814,2.718585145803454
2021-06-01,0.275218931,2.6953580850898717,2.375735044,13.018723508077667,3.23576699188166,2.2676896207851183,5.18514788413182,2.9768082767597903
2021-07-01,0.344185201,2.5129849374645907,0.883434242,13.428994901258328,3.03802500229133,2.2342539339493817,5.13972253070778,3.0618483014194897
2021-08-01,0.244228167,2.524499195738006,0.40117853,12.939545550115895,4.04425227835949,2.352820902189068,4.82796242950139,3.2262656947568136
2021-09-01,0.268969399,2.7780689399684366,0.972520804,12.81982432919877,5.30115216649112,2.6969260222496017,5.63540805847482,3.569329596713078
2021-10-01,0.485587576,3.194467066579887,2.242916446,15.101199727217018,7.14775558019405,3.1342872989909454,9.5854323783612,4.226571628248732
2021-11-01,0.388359439,3.3914376571925864,2.050480082,17.269275010082573,5.33243396920435,3.456724862312144,7.00917347309089,4.658345648219231
2021-12-01,0.371930595,3.654840634200851,1.497978038,17.385608244014385,4.858735400767,3.74257521186272,6.49960130728255,5.020429781757518
2022-01-01,0.547957247,4.144298302068439,0.727649749,17.25670379646429,6.34917228983767,4.16593889833119,7.25504846515865,5.542590234444922
2022-02-01,0.524333653,4.480230095754911,1.135117463,17.681701084501533,6.39609435170827,4.495109331874181,7.04782190762498,5.891519231415621
2022-03-01,0.430529988,4.731284166875871,2.659589596,19.10462642275894,6.14876568910643,4.828195725348117,6.36503099638051,6.184676617147389
2022-04-01,0.582941227,4.9089974610875275,-0.470032181,17.185409080996173,6.86330653516869,5.162359711029341,5.49211646122181,6.275464535413122
2022-05-01,0.574761318,5.156160113244113,1.980773519,17.702840921289265,7.50635047980317,5.508840831039619,8.69212647778732,6.5520612115606225
2022-06-01,0.667121162,5.567138360822255,2.552515264,17.90608765845554,7.83791188794858,5.893009641713087,9.08721573972826,6.875987792907212
2022-07-01,0.499044791,5.730058451620534,-1.240726508,15.423504809527454,6.96892554236195,6.2239142661565605,5.39168790334714,6.897308243231559
2022-08-01,0.579773414,6.083966294767107,-1.283058453,13.487267223933852,7.75472082340705,6.534552305639818,7.17419009132181,7.0946703338466754
2022-09-01,0.633867992,6.470026810526308,-0.247806585,12.11568989385059,6.96107984783969,6.673498797747257,6.57774584137101,7.173959615993386
2022-10-01,0.482711617,6.466979573213738,0.742518467,10.470410588660073,7.60896519034691,6.711687532306265,5.44798350637805,6.830779543657095
2022-11-01,0.488211833,6.5728781340801845,-0.228820968,8.003050095634045,5.95000102717287,6.7636857541320206,4.61421622275824,6.629458924836773
2022-12-01,0.454170504,6.660198799804751,-1.035548754,5.307147907980991,5.44844894487109,6.813592807190383,5.58566858347045,6.552903421619183
2023-01-01,0.495761412,6.60483001569363,0.680671531,5.258033864680001,6.77647053690782,6.849290802004981,6.4799944728728,6.488524909635385
2023-02-01,0.561424621,6.644164534959485,-0.245197532,3.8214483725952375,7.2531156052984,6.920750011639631,5.2564904201285,6.338875959502799
2023-03-01,0.33436714,6.5420520937975235,-0.50105683,0.6250310575413032,4.69045567178128,6.797562743589469,2.56440865617007,6.016928097702867
2023-04-01,0.458230392,6.409952672989716,0.034042369,1.1346516106324422,4.9440471269832,6.636391813043918,4.00242734692249,5.891354920232295
2023-05-01,0.307189387,6.126856634369204,-0.242523738,-1.0701992230560564,4.85157571335715,6.414427253887256,2.92383399145677,5.411257553478133
2023-06-01,0.274855192,5.713315908457917,0.094775018,-3.4411186712269504,4.69911052483047,6.152804406349599,2.86884048938494,4.896941787301534
2023-07-01,0.296622959,5.500391665073434,-0.063404953,-2.2900282642661973,3.20296763411141,5.836227570173547,2.82782282127934,4.68188077097591
2023-08-01,0.332443071,5.240961292827984,0.909720291,-0.1196171297503601,4.20796905702734,5.541453342369174,3.35681906593202,4.365973196466277
2023-09-01,0.415007592,5.0120813009870036,0.353497411,0.48245958942541023,5.59902403540058,5.428796124071034,4.10279997548484,4.161825810783459
2023-10-01,0.376470613,4.901051365886677,-0.470104688,-0.7270332743985364,4.57796348531718,5.178076583103874,3.26076163220621,3.9800457717877658
2023-11-01,0.309291675,4.714274107714855,-0.428123856,-0.9253409335913121,5.80184493974758,5.165812332425945,3.07737031994739,3.8518864145451692
2023-12-01,0.330456496,4.585313582933503,-0.041866237,0.06944815837570673,4.21790569007532,5.062990802050948,3.22222945637571,3.6561509167290396
2024-01-01,0.519367627,4.609880423998103,-0.316217033,-0.9213883841095782,5.49004101302422,4.95692166798003,5.37491256460032,3.5660737041526502
2024-02-01,0.350066257,4.390013081545696,0.487966759,-0.19319386874345756,4.51990901816579,4.731384183492393,3.92243738982232,3.4560474022074184
2024-03-01,0.40418869,4.462656909634055,0.508793651,0.8197812239318703,4.78025066887748,4.7388670841157055,3.79274336438955,3.5587360432302706
2024-04-01,0.364096329,4.364770511592764,-0.172510342,0.6116061003332618,4.14284673103389,4.671996607718509,2.70404193276883,3.4503774269244447
2024-05-01,0.205574523,4.259045169005282,-0.451984041,0.40035238493512093,2.32892391837367,4.4597852915440495,1.43960863620392,3.325229898098425
2024-06-01,0.217335155,4.1992397060682585,-0.696909637,-0.39374918855307195,2.56147212298596,4.280370775136566,1.90340533287219,3.244070326846926
2024-07-01,0.248164322,4.148895507194705,-0.080469713,-0.4107575403365593,2.52568147771819,4.223168781091813,2.45405329812187,3.2127445585126146
2024-08-01,0.264570197,4.0784408801006755,-0.197430365,-1.5034203165467663,3.70174225639255,4.180882828111332,2.33649261554933,3.127449258667081
2024-09-01,0.316770447,3.9766197566123207,-0.140930781,-1.988699724514198,4.14646127656875,4.060701944457223,3.55306682978318,3.0819571622186848
2024-10-01,0.335885876,3.9345793885738445,0.152870452,-1.375229738242223,3.96889331628094,4.0100618249254705,3.86265085162583,3.131894475619923
2024-11-01,0.226413341,3.848705740770364,0.440175826,-0.5151891326825031,3.48884626422816,3.8186506309696666,3.35850027315676,3.155305114076268
2024-12-01,0.201908543,3.7156500465086006,0.747425729,0.27036536899296415,3.17072441510629,3.731316899994064,2.99800884376429,3.1366135609483425
2025-01-01,0.388514045,3.580635624527706,0.49882096,1.0901993973100321,3.93019343751728,3.602622203685435,4.61858053791426,3.074720807405784
2025-02-01,0.283507533,3.5119341757352096,0.139861014,0.7400074259887868,3.49750251733865,3.5177883805428856,3.42529378228726,3.0335397446418
2025-03-01,0.187706159,3.288751001891166,-0.322634541,-0.09333341110344673,3.87654937304922,3.4430915671291418,2.59904583563637,2.934268197900125
2025-04-01,0.292268949,3.214830539900282,-0.196565095,-0.11740724283137993,3.85111943257219,3.418913248309896,2.93745459753449,2.9537425786970717
2025-05-01,0.191262023,3.200088223725417,-0.192333544,0.1431159288381334,3.07028406629439,3.4811449550124607,2.30688207325929,3.0268082673071017
2025-06-01,0.335022208,3.3212779783083235,0.030132223,0.8763079876647817,3.77294805380819,3.582459217486833,3.41791920615091,3.1535480799097515
2025-07-01,0.363597939,3.4402502199524676,-0.153830783,0.8022444500324077,3.36794476710085,3.653105679709645,2.99078612222552,3.1984734208618804
2025-08-01,0.27522274,3.451240160977842,0.560617462,1.5678852811404909,3.47573043348703,3.6342613633133736,3.09059957978508,3.261631958904432
2025-09-01,0.206746387,3.337778320013185,0.55471486,2.275435003103765,2.43573809115507,3.4913228687543096,2.38840675445968,3.1643475872904503
2025-10-01,0.115536778,3.1108367223650735,0.174390387,2.2974110154080796,1.40430207395887,3.276144913369161,1.79270414889809,2.9914264980787753
2025-11-01,0.115536778,2.9967692345369334,0.142389016,1.9941178416654104,1.40430207395887,3.101168600866999,1.8030601828869,2.8613672982700233
2025-12-01,0.282705153,3.0798194470139872,0.323349162,1.564793568260825,3.1287090468519,3.097669027427319,3.59837839939208,2.9111987316833954
2026-01-01,0.357398851,3.047870088961546,-0.384510758,0.6720925123282928,2.34884782640497,2.966025237294101,2.34398413324113,2.7228582338662877
