date,cpi_all,cpi_core,ppi_final_demand,ppi_core,cpi_all_mom,cpi_core_mom,ppi_final_demand_mom,ppi_core_mom,cpi_all_yoy,cpi_core_yoy,ppi_final_demand_yoy,ppi_core_yoy
2024-06-01,313.0440,318.3900,144.8690,272.3830,,,,,,,,
2024-07-01,313.5690,318.9400,144.9220,272.6790,0.1677,0.1727,0.0366,0.1087,,,,
2024-08-01,314.0620,319.7500,145.4090,275.6720,0.1572,0.2540,0.3360,1.0976,,,,
2024-09-01,314.7320,320.7320,145.8030,276.7410,0.2133,0.3071,0.2710,0.3878,,,,
2024-10-01,315.6310,321.7310,146.2940,275.0620,0.2856,0.3115,0.3368,-0.6067,,,,
2024-11-01,316.5280,322.6570,146.4470,282.2670,0.2842,0.2878,0.1046,2.6194,,,,
2024-12-01,317.6040,323.2590,147.0520,282.8470,0.3399,0.1866,0.4131,0.2055,,,,
2025-01-01,318.9610,324.6380,147.9750,285.4100,0.4273,0.4266,0.6277,0.9061,,,,
2025-02-01,319.6790,325.4650,148.2330,290.4490,0.2251,0.2547,0.1744,1.7655,,,,
2025-03-01,319.7850,325.6900,148.0550,284.1230,0.0332,0.0691,-0.1201,-2.1780,,,,
2025-04-01,320.3020,326.4670,147.6550,280.4160,0.1617,0.2386,-0.2702,-1.3047,,,,
2025-05-01,320.6200,326.8930,148.1530,280.7610,0.0993,0.1305,0.3373,0.1230,,,,
2025-06-01,321.4350,327.6580,148.3930,281.2290,0.2542,0.2340,0.1620,0.1667,2.6805,2.9109,2.4325,3.1
2025-07-01,322.1690,328.6820,149.5970,285.1290,0.2284,0.3125,0.8114,1.3868,2.7426,3.0545,3.2259,3.3
2025-08-01,323.2910,329.7000,149.3270,284.2130,0.3483,0.3097,-0.1805,-0.3213,2.9386,3.1118,2.6945,3.2
2025-09-01,324.2450,330.4180,150.2450,286.1150,0.2951,0.2178,0.6148,0.6692,3.0226,3.0200,3.0466,3.4
2025-10-01,,,150.4230,285.3180,,,0.1185,-0.2786,,,2.8224,3.5
2025-11-01,325.0630,331.0430,150.7970,285.3460,,,0.2486,0.0098,2.6964,2.5990,2.9704,3.4
2025-12-01,326.0310,331.8140,151.4460,284.8450,0.2978,0.2329,0.4304,-0.1756,2.6533,2.6465,2.9881,3.5
2026-01-01,326.5880,332.7930,152.1740,280.4550,0.1708,0.2950,0.4807,-1.5412,2.3912,2.5120,2.8376,3.6
