expansion,quarters_since_trough,date,gdp_indexed
dotcom,0,2001-10-01,100.0
dotcom,1,2002-01-01,100.83635865643241
dotcom,2,2002-04-01,101.45418966499209
dotcom,3,2002-07-01,101.86661254222975
dotcom,4,2002-10-01,101.99252482219548
dotcom,5,2003-01-01,102.52966028029181
dotcom,6,2003-04-01,103.43768517285558
dotcom,7,2003-07-01,105.15806070814237
dotcom,8,2003-10-01,106.37865282068904
dotcom,9,2004-01-01,106.98144900359728
dotcom,10,2004-04-01,107.81050422862364
dotcom,11,2004-07-01,108.83318808321339
dotcom,12,2004-10-01,109.94351311467565
dotcom,13,2005-01-01,111.16318615948532
dotcom,14,2005-04-01,111.71080319925373
dotcom,15,2005-07-01,112.58640815279031
dotcom,16,2005-10-01,113.21184427147885
dotcom,17,2006-01-01,114.73497804831266
dotcom,18,2006-04-01,115.03185797470867
dotcom,19,2006-07-01,115.20435506210582
dotcom,20,2006-10-01,116.19447866198331
dotcom,21,2007-01-01,116.54403309654124
dotcom,22,2007-04-01,117.25700515533856
dotcom,23,2007-07-01,117.93243575260493
dotcom,24,2007-10-01,118.67333063272409
gfc,0,2009-04-01,100.0
gfc,1,2009-07-01,100.35119239517505
gfc,2,2009-10-01,101.43590213253371
gfc,3,2010-01-01,101.92736004258367
gfc,4,2010-04-01,102.91359502911801
gfc,5,2010-07-01,103.70714625753227
gfc,6,2010-10-01,104.25172312374129
gfc,7,2011-01-01,104.00443293117125
gfc,8,2011-04-01,104.70810850846803
gfc,9,2011-07-01,104.6847452647327
gfc,10,2011-10-01,105.86040630899778
gfc,11,2012-01-01,106.74814195828975
gfc,12,2012-04-01,107.22459600673547
gfc,13,2012-07-01,107.37902944500158
gfc,14,2012-10-01,107.50320314927428
gfc,15,2013-01-01,108.56378746393864
gfc,16,2013-04-01,108.85434360564122
gfc,17,2013-07-01,109.78112248676865
gfc,18,2013-10-01,110.73813036886695
gfc,19,2014-01-01,110.35597752678459
gfc,20,2014-04-01,111.78160253658073
gfc,21,2014-07-01,113.14018653100699
gfc,22,2014-10-01,113.71237394466642
gfc,23,2015-01-01,114.73633678967148
gfc,24,2015-04-01,115.4470194961075
covid,0,2020-04-01,100.0
covid,1,2020-07-01,107.76227917487336
covid,2,2020-10-01,108.98378089266419
covid,3,2021-01-01,110.50499444595636
covid,4,2021-04-01,112.38566930943257
covid,5,2021-07-01,113.31291049917624
covid,6,2021-10-01,115.25708261120984
covid,7,2022-01-01,114.96340914704231
covid,8,2022-04-01,115.14338091765633
covid,9,2022-07-01,115.97460047158003
covid,10,2022-10-01,116.77510400465627
covid,11,2023-01-01,117.62038164184156
covid,12,2023-04-01,118.35888703591029
covid,13,2023-07-01,119.72428230392383
covid,14,2023-10-01,120.73482366488047
covid,15,2024-01-01,120.98819938702145
covid,16,2024-04-01,122.05953330937555
covid,17,2024-07-01,123.06625351347249
covid,18,2024-10-01,123.63220406004993
covid,19,2025-01-01,123.43128144722988
covid,20,2025-04-01,124.59894102062734
covid,21,2025-07-01,125.94005700390272
covid,22,2025-10-01,126.0916190760537
covid,23,2026-01-01,126.59957085630396
