date,nonfarm_payrolls,unemployment_rate,u6_rate,avg_hourly_earnings,payroll_change,earnings_mom_pct,earnings_yoy_pct,payroll_change_previous
2025-01-01,158268.0000,4.0000,7.5000,35.8400,,,,
2025-02-01,158310.0000,4.2000,8.0000,35.9400,42.0000,0.2790,,
2025-03-01,158377.0000,4.2000,7.9000,36.1100,67.0000,0.4730,,
2025-04-01,158485.0000,4.2000,7.8000,36.1200,108.0000,0.0277,,
2025-05-01,158498.0000,4.3000,7.8000,36.2800,13.0000,0.4430,,
2025-06-01,158478.0000,4.1000,7.7000,36.3600,-20.0000,0.2205,,
2025-07-01,158542.0000,4.3000,7.9000,36.4700,64.0000,0.3025,,
2025-08-01,158472.0000,4.3000,8.1000,36.6200,-70.0000,0.4113,,
2025-09-01,158548.0000,4.4000,8.1000,36.7000,76.0000,0.2185,,
2025-10-01,158408.0000,,,36.8500,-140.0000,0.4087,,
2025-11-01,158449.0000,4.5000,8.7000,37.0000,41.0000,0.4071,,
2025-12-01,158432.0000,4.4000,8.4000,37.0200,-17.0000,0.0541,,48.0000
2026-01-01,158558.0000,4.3000,8.1000,37.1700,126.0000,0.4052,3.7109,130.0000
2026-02-01,158466.0000,4.4000,7.9000,37.3200,-92.0000,0.4000,3.8000,
